Value,Label
4.7964533538936,0
4.930337078651686,0
5.007109004739337,1
5.575682382133995,0
5.003267973856209,1
4.674478057094163,0
4.728260869565218,0
5.368852459016393,1
5.057717533887188,1
5.208393632416787,1
5.030534351145038,1
5.474619289340102,1
5.834123222748815,0
4.384615384615385,0
6.0,1
5.175592340149303,1
5.411347517730497,0
4.393617021276596,0
5.316681534344335,1
5.130434782608695,1
5.008075370121131,1
4.758620689655173,0
5.299270072992701,1
5.190707350901525,1
5.0552147239263805,0
5.198340248962656,1
5.250793650793651,1
5.124137931034483,1
5.109375,1
5.322766570605188,0
4.518518518518518,1
5.092105263157895,0
5.0132802124834,0
4.928348909657321,0
4.645292207792208,0
5.567415730337078,0
5.252873563218391,0
5.092307692307692,0
5.1981566820276495,0
5.81496062992126,0
5.258706467661692,1
5.081497797356828,1
5.475409836065574,0
5.083623693379791,0
5.547619047619048,1
5.312977099236641,0
5.113013698630137,1
4.769230769230769,1
4.863157894736842,0
5.0606060606060606,0
5.582004555808656,1
5.12962962962963,1
5.15625,0
5.483870967741935,0
4.865102639296188,0
5.509803921568627,1
4.628266033254157,0
5.332718894009217,1
5.733333333333333,0
5.028720626631854,1
4.71578947368421,0
4.518518518518518,1
5.157370517928287,1
4.878103837471783,0
5.347921225382932,1
4.980535279805353,1
5.345225603357817,1
5.370744010088273,1
4.966618287373004,1
4.866459627329193,0
5.45004500450045,1
4.984375,0
5.206273764258556,1
5.192708333333333,1
4.723300970873787,0
5.215447154471545,1
5.022954091816367,1
4.981436642453591,1
5.6838235294117645,0
4.855855855855856,0
5.786296900489396,1
4.727272727272728,1
5.248249522597072,1
4.7016949152542376,0
5.303720019579051,1
5.193602693602694,1
4.6880733944954125,1
4.947368421052632,1
4.729629629629629,1
5.183299389002037,1
6.0,1
4.443708609271523,0
4.907103825136612,0
5.20216606498195,1
5.476014760147602,1
4.390342052313883,0
5.452989392478303,0
4.947730398899587,1
5.223893065998329,1
5.25,1
4.997678018575852,1
5.766666666666667,0
5.488961569910058,1
5.084973166368515,1
5.474734042553192,1
5.399152542372882,1
0.0,0
4.221074380165289,0
4.947554507955215,0
5.518010291595197,0
5.433139534883721,1
5.50709939148073,1
4.494318181818182,0
5.016326530612245,0
5.053333333333334,0
5.381656804733728,1
5.407949790794979,1
4.674556213017752,0
5.508454106280193,0
5.0701001430615165,1
5.152325581395349,1
4.635338345864661,0
4.86056838365897,1
5.169971671388102,0
5.185520361990951,0
5.282776349614396,1
5.114639814097599,1
5.022633744855967,0
5.367867867867868,0
5.016129032258065,0
5.267295597484277,1
5.388235294117648,0
4.9423076923076925,1
5.189149560117302,1
4.901234567901234,0
4.722222222222222,0
5.027839643652562,0
4.754329698524695,0
5.101894736842105,1
5.01268115942029,0
4.934615384615385,0
5.514754098360656,1
5.461988304093567,0
5.27,1
5.5625,0
5.665367754505602,1
5.22906976744186,0
5.10126582278481,0
5.406887755102041,0
4.514044943820225,0
5.833333333333333,1
5.189944134078212,0
4.913725490196079,0
4.836923076923077,0
5.286472148541114,1
4.980392156862745,0
5.316279069767442,1
6.0,1
5.1679389312977095,1
4.92094861660079,0
5.20952380952381,1
5.910468319559229,1
5.223769730733519,0
5.868852459016393,0
4.923529411764706,1
5.776714513556619,0
5.378109452736318,1
4.975098296199214,0
5.043906810035843,0
5.115384615384615,1
5.164739884393064,0
4.8108108108108105,0
4.816753926701571,0
5.235294117647059,1
5.178445229681979,0
5.594224924012158,0
5.045553145336226,1
5.058305830583058,0
4.7860253739822,1
5.208067940552017,0
5.421610169491525,1
5.459016393442623,1
5.3017751479289945,1
5.263440860215054,0
5.137345679012346,1
4.903726708074534,1
4.996047430830039,1
5.567548248749106,1
4.781609195402299,0
4.866967305524239,1
5.126811594202898,1
4.358267716535433,0
5.377413127413128,1
4.856240126382306,1
4.874626865671642,0
5.008130081300813,0
5.131345688960516,1
4.983539094650205,0
5.547987616099071,0
5.6923076923076925,1
5.0,1
4.48,0
5.0042194092827,1
5.058940397350994,0
5.463414634146342,0
5.460743801652892,0
5.060686015831134,1
4.949019607843137,0
4.806407634628494,0
4.534848484848485,0
5.397836538461538,1
5.01958224543081,0
5.4535367545076285,1
5.086538461538462,0
5.356521739130435,0
5.182795698924731,1
5.2873417721518985,1
5.051651143099068,1
5.478021978021978,1
4.630434782608695,0
5.436418887330528,0
5.426908150064683,0
4.184210526315789,1
5.2608,1
4.952503209242619,1
4.72972972972973,0
5.1344537815126055,0
4.982142857142857,0
4.956521739130435,1
11.971264367816092,0
5.1840637450199205,1
5.455445544554456,0
4.5966386554621845,1
4.518518518518518,1
5.072,0
5.142700329308452,0
5.384928716904277,1
5.3649538866930175,1
5.428571428571429,0
5.343037974683544,1
5.026676279740447,1
5.1457689932056825,0
5.53416149068323,1
5.147306397306397,1
4.734513274336283,1
5.108922363847046,1
5.0625,0
5.109471094710947,1
4.979966611018364,0
5.5025,1
5.09853249475891,1
4.886964886964887,0
5.191038555053838,1
4.949941792782305,0
5.487804878048781,1
5.346176298890835,0
5.0437925170068025,1
5.241454545454546,1
4.6117283950617285,0
5.453394706559264,1
5.343343792021515,1
5.17965367965368,0
5.297362110311751,0
4.967509025270759,0
4.387755102040816,0
4.923809523809524,0
5.214594928880644,0
4.972602739726027,0
5.445454545454545,0
5.135327635327635,1
4.785185185185185,0
5.180156657963447,0
5.029053420805998,1
5.378947368421053,1
3.323529411764706,0
5.141736694677872,1
5.524816924328722,1
5.111111111111111,0
5.194416749750748,1
4.976710334788938,0
5.154411764705882,1
5.28021978021978,1
4.719573052398115,0
4.746913580246914,0
5.164634146341464,0
5.337389380530974,0
5.430669800235018,1
5.185654008438819,1
5.468354430379747,1
5.917763157894737,1
5.17687074829932,1
5.340063761955367,0
4.823050058207218,1
5.087692307692308,0
5.023696682464455,0
5.894080996884735,1
5.110192837465565,1
5.235611510791367,1
5.137892376681615,1
5.345029239766082,1
5.228055077452668,0
5.147587511825923,1
5.605263157894737,0
4.9386120996441285,1
4.9609756097560975,0
5.239583333333333,1
5.245233968804159,1
5.666666666666667,1
5.531746031746032,0
5.161111111111111,1
5.285067873303167,1
5.31830985915493,1
5.29644495412844,0
4.769230769230769,0
4.780487804878049,0
4.671009771986971,0
6.0,1
5.00765306122449,1
5.280365296803653,1
4.444444444444445,1
5.033898305084746,0
5.325091575091575,0
4.716814159292035,0
6.0,1
5.777070063694268,0
5.120741989881956,1
5.270860077021823,1
5.0,0
5.051823416506718,1
5.419237749546279,1
4.9245283018867925,0
4.868852459016393,1
5.324324324324325,0
5.204419889502763,0
5.127551020408164,0
5.117647058823529,1
5.094009983361065,1
5.054054054054054,0
4.7824933687002655,0
4.719806763285024,1
4.9614243323442135,0
4.848484848484849,0
5.681957186544342,0
5.559523809523809,1
5.194627554383652,1
5.205401563610518,1
5.819672131147541,0
5.327272727272727,1
5.508038585209003,1
5.419031141868512,1
5.161735700197239,1
5.292181069958848,1
5.039757412398922,1
5.393285371702638,1
5.541802388707926,0
5.386904761904762,1
5.538368336025848,1
5.051724137931035,0
5.244,1
5.034285714285715,1
5.286189683860233,0
5.174551386623165,0
5.106261859582543,1
5.247572815533981,1
4.968152866242038,0
5.400447427293065,1
5.170118343195266,1
5.4646840148698885,0
4.396174863387978,0
4.869565217391305,0
5.370826010544816,1
4.658757062146893,0
5.163522012578617,1
5.3601053324555625,1
4.920454545454546,0
5.180264180264181,1
5.098882201203783,1
5.360341151385928,0
4.830950901180858,0
5.967213114754099,1
5.129032258064516,0
5.123501199040767,1
5.350877192982456,1
4.807909604519774,0
5.190348525469169,0
5.588957055214724,1
5.115498519249753,0
5.354340836012862,1
4.744343891402715,0
5.505674653215637,1
4.95771144278607,0
4.735975609756098,0
5.552440290758048,1
4.938831615120275,1
5.292623941958888,0
4.913426265590609,0
4.979841612670986,1
4.74818401937046,0
5.213073005093379,1
6.0,1
5.463620981387479,1
5.439856373429085,1
5.2785714285714285,0
5.433333333333334,1
5.291711517761033,1
5.101733232856066,1
4.959264126149803,1
5.296370967741935,1
5.38448275862069,0
5.207561156412157,1
4.882352941176471,1
5.113953488372093,0
5.172451193058568,1
5.64760147601476,1
5.337078651685394,0
4.699432892249527,0
5.194444444444445,0
5.549253731343284,1
5.015479876160991,0
5.033457249070632,1
5.214689265536723,1
5.29054054054054,1
4.804281345565749,0
5.120588235294117,0
4.725409836065574,0
4.91044776119403,0
5.833333333333333,1
5.21306209850107,1
5.148148148148148,0
5.571041948579161,1
5.072790294627383,1
5.417543859649123,1
5.231060606060606,1
5.057368941641939,1
5.176759410801964,1
4.997722095671982,0
5.045180722891566,0
5.381877022653722,1
5.017254901960785,0
5.0928481806775405,1
5.302452316076295,1
5.763440860215054,1
5.200361010830325,0
5.195979899497488,0
5.10622009569378,0
4.814084507042254,0
5.916470588235294,1
5.166163141993958,0
4.5,0
5.139500734214391,1
4.879941434846266,0
4.779565567176187,0
5.252229299363058,1
4.823529411764706,0
5.3744292237442925,1
5.21932830705963,0
4.883838383838384,0
4.602564102564102,0
5.104306220095694,0
5.4162303664921465,0
5.198275862068965,0
4.984705882352941,0
5.067934782608695,1
5.131501472031403,0
5.346919431279621,1
4.94625,0
5.044526901669759,1
5.406005221932115,1
5.029074419845292,0
5.255464480874317,1
5.895348837209302,0
5.559248554913295,1
5.109533468559838,1
5.045138888888889,1
4.935143288084465,1
5.058930190389846,1
4.482014388489208,0
5.0,1
4.992805755395684,0
5.346153846153846,0
4.9594907407407405,1
5.678571428571429,0
5.328205128205128,1
4.985477178423237,1
5.673306772908367,1
6.0,1
5.142421934501143,0
5.0870319001386965,1
5.540394973070018,1
4.688590604026846,0
5.0852272727272725,1
4.82404181184669,0
5.034722222222222,0
5.180555555555555,0
4.922005571030641,0
5.266792809839168,1
5.275155832591273,0
5.091575091575091,0
5.183673469387755,1
5.035714285714286,1
5.057142857142857,0
5.15962441314554,0
5.16302610548748,1
5.406219630709427,0
5.587786259541985,0
5.43265306122449,1
4.88728323699422,0
5.315789473684211,0
4.893095768374165,0
